shape,amplitude,lambda1,delta_lambda1
cube,0.0,29.541416829703369,0.000000000000000,
cube,0.01,29.541416829703387,0.000000000000018,
cube,0.02,29.541416829703579,0.000000000000210,
cube,0.05,29.541416829703305,-0.000000000000064,
cube,0.08,30.463237373156201,0.921820543452831,
cube,0.1,30.899030922706750,1.357614093003381,
sphere,0.0,37.090047693188851,0.000000000000000,
sphere,0.01,37.090047693188346,-0.000000000000504,
sphere,0.02,37.090047693188431,-0.000000000000419,
sphere,0.05,37.121833155933594,0.031785462744743,
sphere,0.08,37.272443007694598,0.182395314505747,
sphere,0.1,37.381641489235221,0.291593796046371,
