 shape,amplitude,lambda1,delta_lambda1
cube,0.0,29.566559092110868,3.446132268436486e-13
cube,0.01,29.566559092113415,2.8919089345436078e-12
cube,0.02,29.566559092112097,1.573852159708622e-12
cube,0.05,29.78648492848723,0.21992583637670648
cube,0.08,30.669467536564994,1.1029084444544708
cube,0.1,31.766268945876842,2.1997098537663184
cylinder,0.0,32.23593805519105,-8.526512829121202e-14
cylinder,0.01,32.764707696710694,0.5287696415195597
cylinder,0.02,33.931613825329244,1.6956757701381093
cylinder,0.05,38.225565953924814,5.98962789873368
cylinder,0.08,42.182044445489076,9.946106390297942
cylinder,0.1,45.75971601440572,13.523777959214584
ellipse,0.0,63.132076371317716,1.0373923942097463e-12
ellipse,0.01,64.19387007593603,1.0617937046193546
ellipse,0.02,66.08201647295282,2.9499401016361375
ellipse,0.05,75.50477007147622,12.372693700159537
ellipse,0.08,83.45570560976584,20.323629238449165
ellipse,0.1,90.13981068601663,27.007734314699952
rectangle,0.0,58.96448750973402,2.7711166694643907e-13
rectangle,0.01,58.96448750973495,1.2079226507921703e-12
rectangle,0.02,58.964487509734425,6.821210263296962e-13
rectangle,0.05,59.260771065919755,0.29628355618601177
rectangle,0.08,60.17145526194102,1.2069677522072766
rectangle,0.1,61.06959342571687,2.105105915983124
sphere,0.0,37.68218955412521,1.8545165403338615e-12
sphere,0.01,37.65495663314116,-0.02723292098219332
sphere,0.02,37.654956633143335,-0.02723292098001906
sphere,0.05,37.70109062024113,0.018901066117777532
sphere,0.08,37.77142239876438,0.08923284464102466
sphere,0.1,37.87664361610274,0.19445406197938553
